Segment Type,Sovrn Segment ID,Sovrn Parent Segment ID,Segment Name,Segment Description,Tier Number,Tier 1,Tier 2,Tier 3,Tier 4,Tier 5,Tier 6,Full Path,CPM,% Media Cost,Actively Generated,"7 Day Sovrn Cookie Scale, Global","7 Day Sovrn Cookie Scale, US","7 Day HEM Scale, US","1 Day Average IP Scale, Rolling 7 Days, Global"
Commerce Audience,PIA_2018,PIA_2000,Software,Users purchasing or renewing digital tools for productivity or entertainment.,2,Purchase Intent,Software,,,,,Purchase Intent > Software,$0.85 ,0.1,Yes,,,,"19,805,605"
Commerce Audience,PIA_2019,PIA_2000,Sporting Goods,"Active users shopping for gear, clothing, or sporting equipment.",2,Purchase Intent,Sporting Goods,,,,,Purchase Intent > Sporting Goods,$0.85 ,0.1,Yes,,,,"1,489,924"
Commerce Audience,PIA_2020,PIA_2000,Toys and Games,Gift-givers or parents purchasing playthings for kids of all ages.,2,Purchase Intent,Toys and Games,,,,,Purchase Intent > Toys and Games,$0.85 ,0.1,Yes,,,,"20,000,000"
Commerce Audience,PIA_2021,PIA_2000,Vehicles and Parts,"Car buyers and owners actively shopping for vehicles, auto parts, and accessories.",2,Purchase Intent,Vehicles and Parts,,,,,Purchase Intent > Vehicles and Parts,$0.85 ,0.1,Yes,,,,"12,356,618"
Commerce Audience,PIA_2023,PIA_2001,Live Animals,"Consumers actively exploring the purchase of pets, farm animals, or aquatic species for companionship or livestock purposes.",3,Purchase Intent,Animals and Pet Supplies,Live Animals,,,,Purchase Intent > Animals and Pet Supplies > Live Animals,$0.85 ,0.1,No,,,,"19,616,810"
Commerce Audience,PIA_2024,PIA_2001,Pet Supplies,Users researching or purchasing general supplies for pet care and maintenance.,3,Purchase Intent,Animals and Pet Supplies,Pet Supplies,,,,Purchase Intent > Animals and Pet Supplies > Pet Supplies,$0.85 ,0.1,Yes,,,,"7,936,373"
Commerce Audience,PIA_2033,PIA_2024,Cat Supplies,"Cat owners seeking food, toys, litter, or accessories tailored to feline needs.",4,Purchase Intent,Animals and Pet Supplies,Pet Supplies,Cat Supplies,,,Purchase Intent > Animals and Pet Supplies > Pet Supplies > Cat Supplies,$0.85 ,0.1,Yes,,,,"19,720,885"
Commerce Audience,PIA_2045,PIA_2024,Dog Supplies,"Consumers focused on dog care essentials, from food to leashes and grooming products.",4,Purchase Intent,Animals and Pet Supplies,Pet Supplies,Dog Supplies,,,Purchase Intent > Animals and Pet Supplies > Pet Supplies > Dog Supplies,$0.85 ,0.1,Yes,,,,"20,000,000"
Commerce Audience,PIA_2142,PIA_2002,Clothing,Users comparing or shopping for everyday or occasion-based garments.,3,Purchase Intent,Apparel and Accessories,Clothing,,,,Purchase Intent > Apparel and Accessories > Clothing,$0.85 ,0.1,Yes,,,,"5,629,449"
Commerce Audience,PIA_2143,PIA_2142,Activewear,Fitness-focused individuals looking to purchase performance or workout apparel.,4,Purchase Intent,Apparel and Accessories,Clothing,Activewear,,,Purchase Intent > Apparel and Accessories > Clothing > Activewear,$0.85 ,0.1,Yes,,,,"6,330,540"
Commerce Audience,PIA_2152,PIA_2142,Baby and Toddler Clothing,Parents or gift-givers shopping for infant or toddler outfits and essentials.,4,Purchase Intent,Apparel and Accessories,Clothing,Baby and Toddler Clothing,,,Purchase Intent > Apparel and Accessories > Clothing > Baby and Toddler Clothing,$0.85 ,0.1,Yes,,,,"20,000,000"
Commerce Audience,PIA_2164,PIA_2142,Dresses,Style-driven users searching for formal or casual dresses for various occasions.,4,Purchase Intent,Apparel and Accessories,Clothing,Dresses,,,Purchase Intent > Apparel and Accessories > Clothing > Dresses,$0.85 ,0.1,Yes,,,,"20,000,000"
Commerce Audience,PIA_2169,PIA_2142,Outerwear,"Shoppers browsing coats, jackets, and weatherproof layers for style or protection.",4,Purchase Intent,Apparel and Accessories,Clothing,Outerwear,,,Purchase Intent > Apparel and Accessories > Clothing > Outerwear,$0.85 ,0.1,Yes,,,,"10,431,995"
Commerce Audience,PIA_2177,PIA_2142,Pants,"Consumers selecting casual, dress, or active pants for everyday or work wear.",4,Purchase Intent,Apparel and Accessories,Clothing,Pants,,,Purchase Intent > Apparel and Accessories > Clothing > Pants,$0.85 ,0.1,No,,,,
Commerce Audience,PIA_2178,PIA_2142,Shirts and Tops,Shoppers evaluating casual or business tops for themselves or others.,4,Purchase Intent,Apparel and Accessories,Clothing,Shirts and Tops,,,Purchase Intent > Apparel and Accessories > Clothing > Shirts and Tops,$0.85 ,0.1,Yes,,,,"20,000,000"
Commerce Audience,PIA_2179,PIA_2142,Shorts,Shoppers seeking casual or athletic shorts for warm-weather comfort or performance.,4,Purchase Intent,Apparel and Accessories,Clothing,Shorts,,,Purchase Intent > Apparel and Accessories > Clothing > Shorts,$0.85 ,0.1,Yes,,,,"6,087,180"
Commerce Audience,PIA_2180,PIA_2142,Skirts,"Fashion buyers choosing skirts in a variety of styles for casual, work, or formal wear.",4,Purchase Intent,Apparel and Accessories,Clothing,Skirts,,,Purchase Intent > Apparel and Accessories > Clothing > Skirts,$0.85 ,0.1,Yes,,,,"20,000,000"
Commerce Audience,PIA_2231,PIA_2002,Clothing Accessories,"Consumers seeking add-ons like belts, hats, or scarves to complete outfits.",3,Purchase Intent,Apparel and Accessories,Clothing Accessories,,,,Purchase Intent > Apparel and Accessories > Clothing Accessories,$0.85 ,0.1,Yes,,,,"7,819,615"
Commerce Audience,PIA_2282,PIA_2231,Sunglasses,Style or sun-conscious buyers evaluating eyewear for fashion or function.,4,Purchase Intent,Apparel and Accessories,Clothing Accessories,Sunglasses,,,Purchase Intent > Apparel and Accessories > Clothing Accessories > Sunglasses,$0.85 ,0.1,Yes,,,,"20,000,000"
Commerce Audience,PIA_2291,PIA_2002,Costumes and Accessories,"Shoppers seeking costumes and related accessories for themed events, cosplay, or seasonal celebrations.",3,Purchase Intent,Apparel and Accessories,Costumes and Accessories,,,,Purchase Intent > Apparel and Accessories > Costumes and Accessories,$0.85 ,0.1,Yes,,,,"20,000,000"
Commerce Audience,PIA_2304,PIA_2002,Handbag and Wallet Accessories,"Buyers looking to upgrade or customize purses, wallets, and similar personal carry items.",3,Purchase Intent,Apparel and Accessories,Handbag and Wallet Accessories,,,,Purchase Intent > Apparel and Accessories > Handbag and Wallet Accessories,$0.85 ,0.1,No,,,,
Commerce Audience,PIA_2309,PIA_2002,"Handbags, Wallets and Cases",Consumers researching or shopping for functional and stylish personal storage solutions like handbags and wallets.,3,Purchase Intent,Apparel and Accessories,"Handbags, Wallets and Cases",,,,"Purchase Intent > Apparel and Accessories > Handbags, Wallets and Cases",$0.85 ,0.1,No,,,,
Commerce Audience,PIA_2314,PIA_2002,Jewelry,"Shoppers considering new jewelry purchases, including rings, necklaces, and fashion accessories.",3,Purchase Intent,Apparel and Accessories,Jewelry,,,,Purchase Intent > Apparel and Accessories > Jewelry,$0.85 ,0.1,No,,,,
Commerce Audience,PIA_2329,PIA_2002,Shoe Accessories,"Consumers enhancing or maintaining their footwear with inserts, laces, or decorative add-ons.",3,Purchase Intent,Apparel and Accessories,Shoe Accessories,,,,Purchase Intent > Apparel and Accessories > Shoe Accessories,$0.85 ,0.1,No,,,,
Commerce Audience,PIA_2335,PIA_2231,Shoes,"Individuals looking for footwear, ranging from fashion to function across age groups.",3,Purchase Intent,Apparel and Accessories,Shoes,,,,Purchase Intent > Apparel and Accessories > Shoes,$0.85 ,0.1,Yes,,,,"7,782,856"
Commerce Audience,PIA_2337,PIA_2003,Event Tickets,"Buyers planning outings or experiences, shopping for concert, theater, or sports tickets.",3,Purchase Intent,Arts and Entertainment,Event Tickets,,,,Purchase Intent > Arts and Entertainment > Event Tickets,$0.85 ,0.1,Yes,,,,"20,000,000"
Commerce Audience,PIA_2338,PIA_2003,Hobbies and Creative Arts,"Individuals actively purchasing materials or tools for crafting, art-making, or hobby-related projects.",3,Purchase Intent,Arts and Entertainment,Hobbies and Creative Arts,,,,Purchase Intent > Arts and Entertainment > Hobbies and Creative Arts,$0.85 ,0.1,Yes,,,,"10,071,406"
Commerce Audience,PIA_2394,PIA_2003,Party and Celebration,"Individuals preparing for birthdays, holidays, or themed celebrations with decorations or supplies.",3,Purchase Intent,Arts and Entertainment,Party and Celebration,,,,Purchase Intent > Arts and Entertainment > Party and Celebration,$0.85 ,0.1,Yes,,,,"20,000,000"
Commerce Audience,PIA_2395,PIA_2394,Gift Giving,Shoppers selecting products intended for gifting across occasions and recipients.,4,Purchase Intent,Arts and Entertainment,Party and Celebration,Gift Giving,,,Purchase Intent > Arts and Entertainment > Party and Celebration > Gift Giving,$0.85 ,0.1,No,,,,
Commerce Audience,PIA_2445,PIA_2004,Baby Bathing,"Parents searching for tubs, wash products, or accessories to simplify baby bathing routines.",3,Purchase Intent,Baby and Toddler,Baby Bathing,,,,Purchase Intent > Baby and Toddler > Baby Bathing,$0.85 ,0.1,No,,,,
Commerce Audience,PIA_2448,PIA_2004,Baby Gift Sets,Gift-givers selecting curated items for baby showers or new parents.,3,Purchase Intent,Baby and Toddler,Baby Gift Sets,,,,Purchase Intent > Baby and Toddler > Baby Gift Sets,$0.85 ,0.1,Yes,,,,"20,000,000"
Commerce Audience,PIA_2449,PIA_2004,Baby Health,Health-conscious parents researching wellness products for infants and toddlers.,3,Purchase Intent,Baby and Toddler,Baby Health,,,,Purchase Intent > Baby and Toddler > Baby Health,$0.85 ,0.1,Yes,,,,"20,000,000"
Commerce Audience,PIA_2455,PIA_2004,Baby Safety,Users purchasing childproofing gear or monitoring devices for safety-conscious homes.,3,Purchase Intent,Baby and Toddler,Baby Safety,,,,Purchase Intent > Baby and Toddler > Baby Safety,$0.85 ,0.1,Yes,,,,"20,000,000"
Commerce Audience,PIA_2462,PIA_2004,Baby Toys and Activity Equipment,Parents or gift-givers selecting age-appropriate entertainment and learning toys.,3,Purchase Intent,Baby and Toddler,Baby Toys and Activity Equipment,,,,Purchase Intent > Baby and Toddler > Baby Toys and Activity Equipment,$0.85 ,0.1,Yes,,,,"20,000,000"
Commerce Audience,PIA_2478,PIA_2004,Baby Transport,"Shoppers looking for carriers, travel systems, or baby seats for mobility.",3,Purchase Intent,Baby and Toddler,Baby Transport,,,,Purchase Intent > Baby and Toddler > Baby Transport,$0.85 ,0.1,Yes,,,,"20,000,000"
Commerce Audience,PIA_2481,PIA_2478,Baby Strollers,Users actively researching or buying strollers for infants and toddlers.,4,Purchase Intent,Baby and Toddler,Baby Transport,Baby Strollers,,,Purchase Intent > Baby and Toddler > Baby Transport > Baby Strollers,$0.85 ,0.1,No,,,,
Commerce Audience,PIA_2482,PIA_2004,Baby Transport Accessories,"Caregivers looking for add-ons and upgrades to strollers, car seats, and carriers.",3,Purchase Intent,Baby and Toddler,Baby Transport Accessories,,,,Purchase Intent > Baby and Toddler > Baby Transport Accessories,$0.85 ,0.1,Yes,,,,"20,000,000"
Commerce Audience,PIA_2488,PIA_2004,Diapering,"Parents exploring products for changing, including wipes, creams, and changing pads.",3,Purchase Intent,Baby and Toddler,Diapering,,,,Purchase Intent > Baby and Toddler > Diapering,$0.85 ,0.1,Yes,,,,"20,000,000"
Commerce Audience,PIA_2500,PIA_2488,Diapers,"Shoppers purchasing disposable or cloth diapers, often as part of routine child care.",4,Purchase Intent,Baby and Toddler,Diapering,Diapers,,,Purchase Intent > Baby and Toddler > Diapering > Diapers,$0.85 ,0.1,No,,,,
Commerce Audience,PIA_2501,PIA_2004,Nursing and Feeding,"Parents shopping for breastfeeding, bottle-feeding, or toddler meal prep supplies.",3,Purchase Intent,Baby and Toddler,Nursing and Feeding,,,,Purchase Intent > Baby and Toddler > Nursing and Feeding,$0.85 ,0.1,Yes,,,,"20,000,000"
Commerce Audience,PIA_2525,PIA_2004,Potty Training,"Caregivers actively exploring potty seats, training pants, and reward systems.",3,Purchase Intent,Baby and Toddler,Potty Training,,,,Purchase Intent > Baby and Toddler > Potty Training,$0.85 ,0.1,Yes,,,,"18,661,542"
Commerce Audience,PIA_2528,PIA_2004,Swaddling and Receiving Blankets,"Buyers seeking cozy, comforting blankets for swaddling or infant care.",3,Purchase Intent,Baby and Toddler,Swaddling and Receiving Blankets,,,,Purchase Intent > Baby and Toddler > Swaddling and Receiving Blankets,$0.85 ,0.1,Yes,,,,"20,000,000"
Commerce Audience,PIA_2532,PIA_2005,Advertising and Marketing,Professionals and teams purchasing tools or services to promote products or build brand awareness.,3,Purchase Intent,Business and Industrial,Advertising and Marketing,,,,Purchase Intent > Business and Industrial > Advertising and Marketing,$0.85 ,0.1,No,,,,
Commerce Audience,PIA_2536,PIA_2005,Agriculture,"Buyers sourcing equipment, seeds, or livestock-related supplies for agricultural operations.",3,Purchase Intent,Business and Industrial,Agriculture,,,,Purchase Intent > Business and Industrial > Agriculture,$0.85 ,0.1,No,,,,
Commerce Audience,PIA_2542,PIA_2005,Automation Control Components,Engineers and procurement teams purchasing parts for automated systems and industrial controls.,3,Purchase Intent,Business and Industrial,Automation Control Components,,,,Purchase Intent > Business and Industrial > Automation Control Components,$0.85 ,0.1,No,,,,
Commerce Audience,PIA_2545,PIA_2005,Construction,Businesses or individuals planning or executing construction projects in need of materials or tools.,3,Purchase Intent,Business and Industrial,Construction,,,,Purchase Intent > Business and Industrial > Construction,$0.85 ,0.1,No,,,,
Commerce Audience,PIA_2548,PIA_2005,Dentistry,"Dental practices seeking tools, equipment, or hygiene supplies.",3,Purchase Intent,Business and Industrial,Dentistry,,,,Purchase Intent > Business and Industrial > Dentistry,$0.85 ,0.1,No,,,,
Commerce Audience,PIA_2557,PIA_2005,Film and Television,"Buyers engaged in producing or distributing video content, purchasing equipment or post-production services.",3,Purchase Intent,Business and Industrial,Film and Television,,,,Purchase Intent > Business and Industrial > Film and Television,$0.85 ,0.1,No,,,,
Commerce Audience,PIA_2558,PIA_2005,Finance and Insurance,"Professionals researching tools or services to support financial planning, underwriting, or risk management.",3,Purchase Intent,Business and Industrial,Finance and Insurance,,,,Purchase Intent > Business and Industrial > Finance and Insurance,$0.85 ,0.1,No,,,,
Commerce Audience,PIA_2560,PIA_2005,Food Service,"Restaurants and caterers sourcing kitchen equipment, serving ware, or food prep items.",3,Purchase Intent,Business and Industrial,Food Service,,,,Purchase Intent > Business and Industrial > Food Service,$0.85 ,0.1,No,,,,
Commerce Audience,PIA_2583,PIA_2005,Forestry and Logging,Buyers sourcing heavy-duty tools or machinery for timber harvesting or forest management.,3,Purchase Intent,Business and Industrial,Forestry and Logging,,,,Purchase Intent > Business and Industrial > Forestry and Logging,$0.85 ,0.1,No,,,,
Commerce Audience,PIA_2584,PIA_2005,Hairdressing and Cosmetology,"Stylists and salon owners shopping for beauty tools, chairs, or haircare products.",3,Purchase Intent,Business and Industrial,Hairdressing and Cosmetology,,,,Purchase Intent > Business and Industrial > Hairdressing and Cosmetology,$0.85 ,0.1,No,,,,
Commerce Audience,PIA_2588,PIA_2005,Heavy Machinery,"Businesses looking for industrial-grade vehicles and equipment for excavation, transport, or large-scale operations.",3,Purchase Intent,Business and Industrial,Heavy Machinery,,,,Purchase Intent > Business and Industrial > Heavy Machinery,$0.85 ,0.1,No,,,,
Commerce Audience,PIA_2590,PIA_2005,Hotel and Hospitality,"Buyers outfitting lodging operations with amenities, furniture, or service solutions.",3,Purchase Intent,Business and Industrial,Hotel and Hospitality,,,,Purchase Intent > Business and Industrial > Hotel and Hospitality,$0.85 ,0.1,No,,,,
Commerce Audience,PIA_2591,PIA_2005,Industrial Storage,"Facilities shopping for shelving systems, containers, or storage optimization tools.",3,Purchase Intent,Business and Industrial,Industrial Storage,,,,Purchase Intent > Business and Industrial > Industrial Storage,$0.85 ,0.1,No,,,,
Commerce Audience,PIA_2596,PIA_2005,Industrial Storage Accessories,"Buyers enhancing existing storage with bins, labels, dividers, or wheels.",3,Purchase Intent,Business and Industrial,Industrial Storage Accessories,,,,Purchase Intent > Business and Industrial > Industrial Storage Accessories,$0.85 ,0.1,No,,,,
Commerce Audience,PIA_2597,PIA_2005,Janitorial Carts and Caddies,Facilities managers and cleaning services acquiring mobile cleaning and organizing units.,3,Purchase Intent,Business and Industrial,Janitorial Carts and Caddies,,,,Purchase Intent > Business and Industrial > Janitorial Carts and Caddies,$0.85 ,0.1,No,,,,
Commerce Audience,PIA_2598,PIA_2005,Law Enforcement,"Agencies procuring uniforms, tactical gear, or enforcement-related tools.",3,Purchase Intent,Business and Industrial,Law Enforcement,,,,Purchase Intent > Business and Industrial > Law Enforcement,$0.85 ,0.1,No,,,,
Commerce Audience,PIA_2601,PIA_2005,Manufacturing,Procurement teams purchasing materials or equipment for mass production workflows.,3,Purchase Intent,Business and Industrial,Manufacturing,,,,Purchase Intent > Business and Industrial > Manufacturing,$0.85 ,0.1,No,,,,
Commerce Audience,PIA_2602,PIA_2005,Material Handling,"Buyers seeking forklifts, pallet jacks, or conveyors for warehouse or production environments.",3,Purchase Intent,Business and Industrial,Material Handling,,,,Purchase Intent > Business and Industrial > Material Handling,$0.85 ,0.1,No,,,,
Commerce Audience,PIA_2611,PIA_2005,Medical,"Healthcare providers acquiring instruments, diagnostics, or patient care supplies.",3,Purchase Intent,Business and Industrial,Medical,,,,Purchase Intent > Business and Industrial > Medical,$0.85 ,0.1,No,,,,
Commerce Audience,PIA_2648,PIA_2005,Mining and Quarrying,"Operators sourcing equipment, explosives, or safety products for resource extraction.",3,Purchase Intent,Business and Industrial,Mining and Quarrying,,,,Purchase Intent > Business and Industrial > Mining and Quarrying,$0.85 ,0.1,No,,,,
Commerce Audience,PIA_2649,PIA_2005,Piercing and Tattooing,"Artists or studios shopping for ink, needles, aftercare, or piercing tools.",3,Purchase Intent,Business and Industrial,Piercing and Tattooing,,,,Purchase Intent > Business and Industrial > Piercing and Tattooing,$0.85 ,0.1,No,,,,
Commerce Audience,PIA_2657,PIA_2005,Retail,"Store owners purchasing fixtures, POS systems, or retail inventory.",3,Purchase Intent,Business and Industrial,Retail,,,,Purchase Intent > Business and Industrial > Retail,$0.85 ,0.1,No,,,,
Commerce Audience,PIA_2673,PIA_2005,Science and Laboratory,"Professionals buying lab glassware, instruments, or test kits for research or diagnostics.",3,Purchase Intent,Business and Industrial,Science and Laboratory,,,,Purchase Intent > Business and Industrial > Science and Laboratory,$0.85 ,0.1,No,,,,
Commerce Audience,PIA_2702,PIA_2005,Signage,"Businesses shopping for promotional, wayfinding, or safety signs.",3,Purchase Intent,Business and Industrial,Signage,,,,Purchase Intent > Business and Industrial > Signage,$0.85 ,0.1,No,,,,
Commerce Audience,PIA_2718,PIA_2005,Work Safety Protective Gear,"Buyers prioritizing PPE like helmets, gloves, or respirators for workplace safety.",3,Purchase Intent,Business and Industrial,Work Safety Protective Gear,,,,Purchase Intent > Business and Industrial > Work Safety Protective Gear,$0.85 ,0.1,No,,,,
Commerce Audience,PIA_2736,PIA_2006,Camera and Optic Accessories,"Shoppers seeking lenses, tripods, or storage cases to upgrade camera setups.",3,Purchase Intent,Cameras and Optics,Camera and Optic Accessories,,,,Purchase Intent > Cameras and Optics > Camera and Optic Accessories,$0.85 ,0.1,No,,,,
Commerce Audience,PIA_2739,PIA_2736,Camera Lenses,"Photography enthusiasts investing in prime, zoom, or specialty camera lenses.",5,Purchase Intent,Cameras and Optics,Camera and Optic Accessories,Camera and Video Camera Lenses, Camera Lenses,,Purchase Intent > Cameras and Optics > Camera and Optic Accessories > Camera and Video Camera Lenses >  Camera Lenses,$0.85 ,0.1,No,,,,
Commerce Audience,PIA_2749,PIA_2736,Camera Parts and Accessories,"Photographers purchasing tripods, filters, batteries, and other gear.",4,Purchase Intent,Cameras and Optics,Camera and Optic Accessories,Camera Parts and Accessories,,,Purchase Intent > Cameras and Optics > Camera and Optic Accessories > Camera Parts and Accessories,$0.85 ,0.1,No,,,,
Commerce Audience,PIA_2790,PIA_2006,Cameras,Consumers actively researching or buying digital or film-based photography equipment.,3,Purchase Intent,Cameras and Optics,Cameras,,,,Purchase Intent > Cameras and Optics > Cameras,$0.85 ,0.1,Yes,,,,"12,244,804"
Commerce Audience,PIA_2799,PIA_2006,Optics,"Buyers exploring magnifiers, scopes, or high-precision lenses.",3,Purchase Intent,Cameras and Optics,Optics,,,,Purchase Intent > Cameras and Optics > Optics,$0.85 ,0.1,Yes,,,,"20,000,000"
Commerce Audience,PIA_2807,PIA_2006,Photography,Hobbyists and professionals purchasing gear or tools for creative or commercial photo work.,3,Purchase Intent,Cameras and Optics,Photography,,,,Purchase Intent > Cameras and Optics > Photography,$0.85 ,0.1,Yes,,,,"19,514,908"
Commerce Audience,PIA_2826,PIA_2007,Arcade Equipment,Buyers sourcing arcade machines for entertainment venues or collectors’ setups.,3,Purchase Intent,Electronics,Arcade Equipment,,,,Purchase Intent > Electronics > Arcade Equipment,$0.85 ,0.1,Yes,,,,"20,000,000"
Commerce Audience,PIA_2833,PIA_2007,Audio,"Shoppers seeking headphones, speakers, or audio systems for personal or professional use.",3,Purchase Intent,Electronics,Audio,,,,Purchase Intent > Electronics > Audio,$0.85 ,0.1,Yes,,,,"15,194,231"
Commerce Audience,PIA_2844,PIA_2833,Audio Components,"Buyers upgrading receivers, amps, and other home or studio audio equipment.",4,Purchase Intent,Electronics,Audio,Audio Components,,,Purchase Intent > Electronics > Audio > Audio Components,$0.85 ,0.1,No,,,,
Commerce Audience,PIA_2852,PIA_2844,Microphones,"Creators and professionals seeking microphones for recording, streaming, or performance.",5,Purchase Intent,Electronics,Audio,Audio Components,Microphones,,Purchase Intent > Electronics > Audio > Audio Components > Microphones,$0.85 ,0.1,No,,,,
Commerce Audience,PIA_2854,PIA_2844,Speakers,"Shoppers upgrading home, portable, or professional speaker systems.",5,Purchase Intent,Electronics,Audio,Audio Components,Speakers,,Purchase Intent > Electronics > Audio > Audio Components > Speakers,$0.85 ,0.1,No,,,,
Commerce Audience,PIA_2878,PIA_2007,Circuit Boards and Components,"Electronics hobbyists and engineers buying PCBs, resistors, or microchips.",3,Purchase Intent,Electronics,Circuit Boards and Components,,,,Purchase Intent > Electronics > Circuit Boards and Components,$0.85 ,0.1,No,,,,
Commerce Audience,PIA_2904,PIA_2007,Communications,"Buyers acquiring radios, intercoms, or mobile communications tools.",3,Purchase Intent,Electronics,Communications,,,,Purchase Intent > Electronics > Communications,$0.85 ,0.1,Yes,,,,"20,000,000"
Commerce Audience,PIA_2920,PIA_2904,Mobile Phones,Consumers choosing new smartphones and mobile devices across brands and models.,5,Purchase Intent,Electronics,Communications,Telephony,Mobile Phones,,Purchase Intent > Electronics > Communications > Telephony > Mobile Phones,$0.85 ,0.1,Yes,,,,"20,000,000"
Commerce Audience,PIA_2924,PIA_2007,Components,Technicians and hobbyists purchasing electronic parts for repairs or DIY projects.,3,Purchase Intent,Electronics,Components,,,,Purchase Intent > Electronics > Components,$0.85 ,0.1,Yes,,,,"20,000,000"
Commerce Audience,PIA_2932,PIA_2007,Computers,"Users comparing laptops, desktops, or components for work, gaming, or personal use.",3,Purchase Intent,Electronics,Computers,,,,Purchase Intent > Electronics > Computers,$0.85 ,0.1,Yes,,,,"13,632,946"
Commerce Audience,PIA_2941,PIA_2932,Laptops,"Buyers selecting portable computers for work, study, or entertainment.",4,Purchase Intent,Electronics,Computers,Laptops,,,Purchase Intent > Electronics > Computers > Laptops,$0.85 ,0.1,Yes,,,,"11,953,882"
Commerce Audience,PIA_2943,PIA_2932,Tablet Computers,"Shoppers comparing tablets for productivity, creativity, or media consumption.",4,Purchase Intent,Electronics,Computers,Tablet Computers,,,Purchase Intent > Electronics > Computers > Tablet Computers,$0.85 ,0.1,Yes,,,,"11,135,643"
Commerce Audience,PIA_2948,PIA_2007,Electronics Accessories,"Consumers adding cables, mounts, or protective gear to enhance device functionality.",3,Purchase Intent,Electronics,Electronics Accessories,,,,Purchase Intent > Electronics > Electronics Accessories,$0.85 ,0.1,Yes,,,,"11,284,948"
